material_type,material_form,material_diameter,laser_power,scanning_speed,hatching_distance,layer_thickness,rotation_angle,hardness,yield_stress,tensile_strength,elongation_to_failure
316L,powder,80,380,1250,60,50,0,217.711,,,
TI6Al4V,powder,52,250,1600,60,30,90,,955,1004,12.84
CoCrFeNiMn,powder,90,400,2000,90,30,67,,519,582,26.8
TI6Al4V,powder,65,160,520,80,50,90,372,1096,,8.1
316L,powder,80,380,1750,40,50,0,218.961,,,
CoCrFeNiMn,powder,90,400,2500,90,30,67,,490,536,22.7
TI6Al4V,powder,200,110,600,85,30,60,355,,762,10.6
CoCrFeNiMn,powder,35,200,428.5713122,85,50,67,202.8,,,
Hastelloy X,powder,100,250,1250,80,40,67,191,492,815,40
316L,powder,80,380,2000,35,50,0,219.261,,,
IN625,powder,100,195,1200,90,20,67,335,,,
Hastelloy X,powder,100,280,800,80,25,67,,750,960,22
316L,powder,80,380,3000,25,50,0,220.405,,,
TI6Al4V,powder,100,280,1200,50,50,67,,839,941,19
316L,powder,100,100,150,100,60,0,,,133.636,
IN625,powder,100,195,1200,90,20,67,200,,,
TI6Al4V,powder,100,194,1000,70,20,90,,1030,1268,4.2
CoCrFeNiMn,powder,75,240,2500,50,40,90,,355,565,32
IN718,powder,100,285,960,110,40,67,211.8,,,
CoCrFeNiMn,powder,35,200,749.9996438,85,50,67,203.4,,,
316L,powder,100,350,1000,200,60,55,,263,611,48
TI6Al4V,powder,88,375,643,120,80,67,,1206,1297,1.5
IN718,powder,100,285,960,110,40,67,185.9,,,
IN625,powder,46,80,100,100,50,90,338.24,,,
TI6Al4V,powder,52,42,200,75,30,0,409,,,
316L,powder,80,380,625,120,50,0,213.204,,,
IN718,powder,100,350,800,120,40,90,287,,,
316L,powder,50,150,700,70,20,30,,489.84,572.193,70.978
316L,powder,50,150,700,50,20,30,,432.086,548.663,64.271
CoCrFeNiMn,powder,35,200,499.9998417,85,50,67,188.8,,,
IN625,powder,100,195,1200,90,20,67,325,,,
IN718,powder,100,285,960,110,40,67,393.1,,,
CoCrFeNiMn,powder,35,200,499.9998417,85,50,67,202.2,,,
IN718,powder,70,200,900,90,30,67,,1319,1434,15.5
IN625,powder,100,195,1200,90,20,67,205,,,
Hastelloy X,powder,100,310,1000,80,25,67,,750,950,25
CoCrFeNiMn,powder,35,200,599.999772,85,50,67,207.8,,,
TI6Al4V,powder,100,280,1200,140,30,66.67,,937,1041,18.9
TI6Al4V,powder,100,280,1200,140,30,66.6,,1040,1310,8.7
TI6Al4V,powder,54,100,800,84,30,90,,1110,1305,8.6
316L,powder,65,200,750,110,50,67,,290.989,502.798,16.0429
Hastelloy X,powder,50,95,200,90,30,90,,350,560,41
TI6Al4V,powder,88,375,870,120,80,67,,1171,1280,4
TI6Al4V,powder,100,280,1200,140,30,66.6,,1190,1302,6.8
TI6Al4V,powder,200,110,800,80,30,45,417,,912,4
IN718,powder,100,350,800,120,40,90,,1361,1509,20.4
IN718,powder,90,195,1200,90,20,67,,978,1114,
CoCrFeNiMn,powder,35,200,749.9996438,60,50,67,205.6,,,
TI6Al4V,powder,65,200,650,80,50,90,385,1079,,6.9
IN718,powder,80,250,700,120,50,45,310,645,1025,38
TI6Al4V,powder,88,375,1029,120,60,67,,1141,1244,5.5
TI6Al4V,powder,54,250,1600,70,30,90,,1140,1290,7.6
IN718,powder,100,285,960,80,40,67,490,,,
CoCrFeNiMn,powder,90,400,1200,90,30,67,,445,620,14.5
316L,powder,65,200,750,110,50,67,,401.758,602.275,27.7085
316L,powder,65,200,750,110,50,67,,403.191,464.65,6.61
CoCrFeNiMn,powder,35,200,749.9996438,85,50,67,203.2,530,783,23
IN625,powder,100,195,1200,90,20,67,340,,,
TI6Al4V,powder,60,88,558,82,30,115,,,1198,6.7
CoCrFeNiMn,powder,75,240,2500,50,40,90,,465,541,19
TI6Al4V,powder,70,400,1750,100,60,67,402,,,
TI6Al4V,powder,70,157,350,100,50,67,,974,1065,7
Hastelloy X,powder,70,250,800,100,50,67,,365.651,500.81,23.814
TI6Al4V,powder,100,280,1200,50,50,67,,996,1223,7
316L,powder,200,100,200,120,50,90,,440,662,28
TI6Al4V,powder,70,225,600,50,50,90,,,1103.16,4.09
Hastelloy X,powder,70,250,800,100,50,67,,204.432,261.745,14.244
Hastelloy X,powder,100,280,1200,80,25,67,,715,940,20
CoCrFeNiMn,powder,35,200,749.9996438,85,50,90,201.2,,,
316L,powder,100,350,1000,200,60,55,,257,592,47
TI6Al4V,powder,52,42,200,50,30,0,426,,,
Hastelloy X,powder,70,250,800,100,50,67,,344.598,436.936,6.009
CoCrFeNiMn,powder,75,240,2500,50,40,90,,465,541,19
IN718,powder,80,160,800,160,50,90,,1245,1640,16.6
IN718,powder,100,285,960,80,40,67,350,,,
TI6Al4V,powder,40,200,1000,100,50,90,,1181.333333,1260.666667,5.066666667
TI6Al4V,powder,200,90,700,75,30,45,396,,1123,9.1
CoCrFeNiMn,powder,35,200,749.9996438,85,50,90,201.2,,,
TI6Al4V,powder,200,90,650,70,30,40,386,,1205,3.7
TI6Al4V,powder,65,170,550.8474576,80,50,90,376,1093,,7.81
IN718,powder,80,180,600,105,35,90,,1084,1386,23
CoCrFeNiMn,powder,35,200,749.9996438,85,50,0,212.7,,,
TI6Al4V,powder,100,280,1200,140,30,66.6,,1150,1180,7
CoCrFeNiMn,powder,35,200,749.9996438,85,50,67,203.4,,,
316L,powder,70,180,200,124,50,0,203.529,,,
CoCrFeNiMn,powder,90,400,1200,90,30,67,,445,620,14.5
TI6Al4V,powder,40,200,1000,100,50,90,,1181.333333,1260.666667,5.066666667
Hastelloy X,powder,100,250,1250,80,40,67,201,481,798,42
TI6Al4V,powder,65,180,585.5855856,80,50,90,382,1080,,9.06
316L,powder,70,180,750,124,50,0,182.465,,,
TI6Al4V,powder,200,100,800,70,30,60,343,,1260,3.2
316L,powder,50,100,700,50,20,30,,528.342,618.182,27.758
IN718,powder,70,200,900,90,30,67,,1395,1551,11.5
CoCrFeNiMn,powder,35,200,749.9996438,85,50,67,204,,,
CoCrFeNiMn,powder,90,400,800,90,30,67,,446,649,18
IN625,powder,46,120,100,100,50,90,299.02,,,
IN718,powder,80,160,800,160,50,90,,1300,1580,9.6
IN625,powder,100,195,1200,90,20,67,200,,,
CoCrFeNiMn,powder,35,200,749.9996438,60,50,67,204,,,
316L,powder,50,100,700,70,20,30,,474.866,556.15,62.222
TI6Al4V,powder,88,375,858,120,60,67,,1141,1241,6.5
IN625,powder,100,195,1200,90,20,67,365,,,
TI6Al4V,powder,70,500,1167,100,60,67,398,,,
Hastelloy X,powder,50,95,200,90,30,90,,480,620,40
IN718,powder,80,250,700,120,50,45,,626,857,29
TI6Al4V,powder,52,42,100,75,30,0,440,,,
CoCrFeNiMn,powder,35,200,599.999772,85,50,67,207.8,,,
Hastelloy X,powder,70,250,800,100,50,67,,201.108,472.113,41.062
Hastelloy X,powder,70,250,800,100,50,67,,186.704,371.21,24.815
IN625,powder,100,195,1200,90,20,67,195,,,
TI6Al4V,powder,52,250,1600,60,30,90,,822,902,12.74
IN718,powder,90,195,1200,90,20,67,,1033,1139,
TI6Al4V,powder,100,280,1200,50,50,67,,840,979,4
316L,powder,200,100,200,120,50,90,,463,687,25
IN718,powder,80,250,700,120,50,45,,650,845,28
TI6Al4V,powder,100,280,1200,140,30,66.6,,985,1068,13.8
CoCrFeNiMn,powder,90,400,800,90,30,67,,525,601,34.5
TI6Al4V,powder,200,90,750,80,30,60,348,,1179,7.3
TI6Al4V,powder,52,42,50,75,30,0,479,,,
316L,powder,100,350,1000,200,60,55,,370,595,29
IN718,powder,100,950,320,500,100,45,451,1065,1272,15
Al0.5Cr0.9FeNi2.5V0.2,powder,50,140,900,50,30,67,,651.3,1057.5,30.3
IN625,powder,100,195,1200,90,20,67,225,,,
IN718,powder,100,950,320,500,100,45,,543,782,31
TI6Al4V,powder,88,375,1235,120,60,67,,1144,1252,6
Hastelloy X,powder,70,250,800,100,50,67,,326.593,710.947,44.011
IN718,powder,100,350,800,120,40,90,,1369,1529,18.6
IN718,powder,90,195,1200,90,20,67,,1368,1521,
316L,powder,65,200,750,110,50,67,,481.386,628.335,24.5632
IN718,powder,100,285,960,110,40,67,254,,,
Hastelloy X,powder,100,195,1300,90,40,67,,481,708.148,50
316L,powder,200,200,220,120,50,90,202,,,
TI6Al4V,powder,52,250,1600,60,30,90,,760,840,14.06
TI6Al4V,powder,52,250,1600,60,30,90,,909,965,
TI6Al4V,powder,200,105,800,75,30,36,376,,1113,5.2
316L,powder,100,100,90,100,60,0,,,652.273,
316L,powder,65,200,750,110,50,67,,295.346,541.468,24.145
IN718,powder,100,350,800,120,40,90,,1306,1475,22.2
IN718,powder,80,160,800,160,50,90,,1120,1500,14.5
Hastelloy X,powder,50,95,200,90,30,90,,350,560,41
CoCrFeNiMn,powder,35,200,749.9996438,60,50,67,204,,,
IN625,powder,100,195,1200,90,20,67,210,,,
Hastelloy X,powder,70,250,800,100,50,67,,319.114,662.81,44.734
CoCrFeNiMn,powder,75,240,2000,50,40,90,,381,619,47
TI6Al4V,powder,60,97,620,82,30,115,,,1173,7.1
316L,powder,200,200,220,120,50,90,212,,,
Hastelloy X,powder,70,250,800,100,50,67,,348.199,498.033,27.263
TI6Al4V,powder,70,157,350,100,50,67,,937,1052,9.6
TI6Al4V,powder,60,70,620,82,30,115,,,1096,10.8
TI6Al4V,powder,60,88,620,82,30,115,,,1183,7.9
TI6Al4V,powder,88,280,1250,120,30,67,,982,1079,10.5
CoCrFeNiMn,powder,35,200,428.5713122,85,50,67,187.4,,,
316L,powder,65,200,750,110,50,67,,364.104,429.196,4.7328
TI6Al4V,powder,65,200,650,80,50,90,391,1139,1233,6.01
CoCrFeNiMn,powder,35,200,599.999772,85,50,67,204.2,,,
Hastelloy X,powder,50,95,200,90,30,90,,480,620,40
316L,powder,50,100,700,70,20,30,,541.176,645.989,36.327
IN718,powder,100,350,800,120,40,90,,1268,1476,17.9
IN718,powder,90,195,1200,90,20,67,,1124,1187,
IN625,powder,100,195,1200,90,20,67,220,,,
316L,powder,70,180,500,124,50,0,221.01,,,
316L,powder,70,180,1000,124,50,0,162.595,,,
316L,powder,80,380,700,110,50,0,213.627,,,
IN718,powder,70,200,900,90,30,67,,686,994,31.3
IN625,powder,100,195,1200,90,20,67,290,,,
IN718,powder,100,350,800,120,40,90,226,,,
316L,powder,65,200,750,110,50,67,,537.849,639.193,26.3028
IN718,powder,100,950,320,500,100,45,287,531,866,21
IN625,powder,100,195,1200,90,20,67,325,,,
IN625,powder,100,195,1200,90,20,67,295,,,
316L,powder,35,90,600,84,25,90,,520,585,55
CoCrFeNiMn,powder,90,400,2000,90,30,67,,519,582,26.8
316L,powder,75,200,1000,80,50,90,,487,594,49
CoCrFeNiMn,powder,35,200,749.9996438,85,50,0,212.7,,,
Hastelloy X,powder,35,180,333.3333333,90,20,67,,380,480,46
CoCrFeNiMn,powder,90,400,1200,90,30,67,,519,601,34
316L,powder,100,350,1000,200,60,55,,445,585,21
TI6Al4V,powder,100,280,1200,140,30,66.67,,1012,1109,13.4
IN718,powder,100,350,800,120,40,90,295,,,
TI6Al4V,powder,100,280,1200,140,30,66.6,,861,959,13
316L,powder,100,170,700,120,60,90,,534,653,16.2
316L,powder,80,380,750,100,50,0,214.789,,,
316L,powder,70,180,400,124,50,0,221.01,,,
TI6Al4V,powder,200,100,700,85,30,40,360,,1253,4.6
316L,powder,50,100,700,50,20,30,,482.353,556.15,42.289
IN718,powder,80,250,700,120,50,45,360,875,1153,17
316L,powder,100,170,700,120,60,90,,444,567,8
TI6Al4V,powder,200,95,650,75,30,60,298,,1257,5.8
Al0.5Cr0.9FeNi2.5V0.2,powder,50,140,900,50,30,67,,651.3,1057.5,30.3
CoCrFeNiMn,powder,35,200,749.9996438,110,50,67,207.8,,,
TI6Al4V,powder,200,110,750,75,30,40,362,,896,3.6
TI6Al4V,powder,70,157,350,100,50,67,,1075,1199,7.6
Hastelloy X,powder,70,250,800,100,50,67,,208.587,508.216,43.677
TI6Al4V,powder,65,200,650,80,50,90,434,,748,
Hastelloy X,powder,100,250,1000,80,25,67,,715,890,15
IN718,powder,80,180,600,105,35,90,,1123,1323,21
Hastelloy X,powder,50,95,200,90,30,90,,350,560,41
316L,powder,80,380,850,90,50,0,216.197,,,
Hastelloy X,powder,70,250,800,100,50,67,,172.853,252.025,28.654
Hastelloy X,powder,70,250,800,100,50,67,,322.992,423.976,16.859
TI6Al4V,powder,200,105,600,80,30,40,330,,1032,3.9
Hastelloy X,powder,70,250,800,100,50,67,,373.407,569.313,16.692
Hastelloy X,powder,100,195,1450,90,40,67,,384,694.321,39
IN718,powder,100,285,960,110,40,67,404.5,,,
316L,powder,70,180,250,124,50,0,214.929,,,
CoCrFeNiMn,powder,75,240,2000,50,40,90,,510,609,34
316L,powder,50,150,700,70,20,30,,525.134,649.198,40.798
316L,powder,70,180,333.3333333,124,50,0,225.461,,,
CoCrFeNiMn,powder,75,240,2000,50,40,90,,381,619,47
IN718,powder,100,350,800,120,40,90,,1354,1506,15.8
CoCrFeNiMn,powder,35,200,499.9998417,85,50,67,202.2,,,
TI6Al4V,powder,200,100,750,65,30,45,305,,1258,4.1
IN625,powder,100,195,1200,90,20,67,220,,,
IN718,powder,80,250,700,120,50,45,468,1145,1376,19
CoCrFeNiMn,powder,35,200,749.9996438,85,50,67,203.2,530,783,23
TI6Al4V,powder,88,375,1029,120,60,67,,1162,1268,5
CoCrFeNiMn,powder,90,400,1600,90,30,67,,530,586,32.6
TI6Al4V,powder,200,105,650,85,30,45,361,,1099,3.4
Hastelloy X,powder,100,195,1150,90,40,67,,467,692.346,55
TI6Al4V,powder,65,170,812.5,80,25,90,364,1092,,11
CoCrFeNiMn,powder,35,200,428.5713122,85,50,67,187.4,,,
TI6Al4V,powder,100,280,1200,140,30,66.6,,947,1012,9.8
IN718,powder,100,950,320,500,100,45,,479,665,28
CoCrFeNiMn,powder,35,200,749.9996438,85,50,90,208,,,
TI6Al4V,powder,65,200,650,80,50,90,423,1173,1232,9.73
Hastelloy X,powder,100,250,1250,80,40,90,193,450,742,42
IN625,powder,100,195,1200,90,20,67,240,,,
316L,powder,100,350,1000,200,60,55,,365,582,31
IN718,powder,100,350,800,120,40,90,,1172,1414,23.8
TI6Al4V,powder,100,280,1200,140,30,66.6,,936,1014,12.8
IN718,powder,100,350,800,120,40,90,,1207,1471,18.9
Hastelloy X,powder,70,250,800,100,50,67,,316.898,408.239,9.959
CoCrFeNiMn,powder,90,400,2500,90,30,67,,490,536,22.7
Hastelloy X,powder,70,250,800,100,50,67,,506.925,797.963,31.547
Hastelloy X,powder,100,195,550,90,40,67,,386,615.309,47
TI6Al4V,powder,70,157,350,100,50,67,,967,1117,8.9
IN625,powder,100,195,1200,90,20,67,305,,,
CoCrFeNiMn,powder,35,200,599.999772,85,50,67,204.2,,,
TI6Al4V,powder,100,280,1200,140,30,66.6,,858,951,12.9
Hastelloy X,powder,100,195,850,90,40,67,,438,654.815,64
IN718,powder,80,160,800,160,50,90,,1135,1530,10.6
CoCrFeNiMn,powder,35,200,749.9996438,85,50,0,206.3,,,
316L,powder,100,100,180,100,60,0,,,21.212,
316L,powder,200,100,200,120,50,90,247,517,687,32
IN718,powder,100,350,800,120,40,90,,1037,1329,27.8
316L,powder,200,100,200,120,50,90,255,,,
TI6Al4V,powder,200,100,600,75,30,75,381,,1417,3.7
IN625,powder,100,195,1200,90,20,67,245,,,
TI6Al4V,powder,65,150,488.7218045,80,50,90,385,1121,,8.51
TI6Al4V,powder,100,280,1200,50,50,67,,837,919,12
CoCrFeNiMn,powder,35,200,749.9996438,110,50,67,201.6,,,
IN625,powder,100,195,1200,90,20,67,295,722,1116,35
TI6Al4V,powder,100,280,1200,50,50,67,,1065,1241,6
TI6Al4V,powder,100,280,1200,140,30,66.6,,1190,1236,7.6
316L,powder,100,350,1000,200,60,55,,439,579,21
316L,powder,75,200,1000,80,50,90,,376,461,31
TI6Al4V,powder,88,375,772,120,80,67,,1177,1280,3.5
316L,powder,65,200,750,110,50,67,,477.026,497.979,2.9993
IN718,powder,90,195,1200,90,20,67,,1295,1484,
316L,powder,100,190,800,120,40,90,224,582,708,34.5
316L,powder,200,140,200,120,30,30,169.2,297.8,506.5,23.9
316L,powder,200,140,200,120,30,30,166.5,290.8,497,22.9
IN625,powder,100,195,1200,90,20,67,365,1012,1222,23
316L,powder,200,120,100,120,30,30,180.5,322.1,573.9,52.2
316L,powder,200,120,280,120,30,30,156.6,187.8,247.4,6.3
Pd_{43}Ni_{10}Cu_{27}P_{20},powder,65,100,600,150,40,67,498.4,1138,1138,1.17
316L,powder,200,100,200,120,30,30,187.2,275.5,306.1,2.5
316L,powder,200,140,100,120,30,30,177.7,319,566.7,52.7
IN625,powder,100,195,1200,90,20,67,300,783,1041,33
316L,powder,200,140,100,120,30,30,198.4,455.2,585.8,40.8
TI6Al4V,powder,100,170,1250,100,30,67,376,1117,1225,7.1
316L,powder,200,100,200,120,30,30,163.3,196.3,288.1,9.6
316L,powder,200,120,100,120,30,30,176,321.7,570.2,51.2
Hastelloy X,powder,100,370,1900,90,40,90,220,434,781,49
Hastelloy X,powder,100,370,1900,90,40,90,220,401,741,55
316L,powder,100,185,800,120,40,90,218,574,692,34.5
316L,powder,200,100,100,120,30,30,173.5,306.5,550.7,35.5
Hastelloy X,powder,100,370,1900,90,40,90,245,654,700,8
TI6Al4V,powder,100,170,1250,100,30,67,400,1150,1250,7.4
Hastelloy X,powder,100,370,1900,90,40,90,244,600,785,27
316L,powder,200,100,200,120,30,30,157.5,193.8,275.4,6.8
316L,powder,200,100,280,120,30,30,181.2,175,189.3,1.9
316L,powder,200,120,100,120,30,30,196.9,464.8,593,35
IN625,powder,100,195,1200,90,20,67,200,369,883,55
TI6Al4V,powder,100,170,1250,100,30,67,402,1151,1254,7.3
316L,powder,200,140,200,120,30,30,191.4,426.7,516.9,15.2
316L,powder,200,120,200,120,30,30,159.9,272.3,447.7,17.4
316L,powder,200,100,100,120,30,30,170.3,304.4,543.8,37.8
316L,powder,200,120,280,120,30,30,155.9,174.8,243.3,6.8
316L,powder,200,100,280,120,30,30,156,128.6,163.4,4.1
Hastelloy X,powder,100,370,1900,90,40,90,216,412,669,22.4
316L,powder,200,120,200,120,30,30,160.8,265.1,447.8,14.9
Hastelloy X,powder,100,370,1900,90,40,90,205,469,804,40
Hastelloy X,powder,100,370,1900,90,40,90,205,433,756,42
316L,powder,200,140,280,120,30,30,162.4,221.3,332.6,9.6
316L,powder,200,140,280,120,30,30,191.8,301.4,347.8,5.6
316L,powder,200,100,100,120,30,30,202.4,441.5,570.8,28.9
316L,powder,200,140,280,120,30,30,160.1,217,323.2,9.1
316L,powder,200,120,200,120,30,30,181.1,400.6,462,7.1
Hastelloy X,powder,100,370,1900,90,40,90,215,414,718,36.9
316L,powder,100,175,800,120,40,90,214,567,685,34.5
316L,powder,200,140,100,120,30,30,173.2,321.9,570.7,54.7
316L,powder,200,100,280,120,30,30,147.6,130.9,171.5,3.9
316L,powder,200,120,280,120,30,30,175.3,228.6,251.8,2.6
